"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","223","should not leak data in preflight (OPTIONS) request For Loan Module","","Mon Sep 29 14:14:08 PKT 2025","passed","Mon Sep 29 14:14:08 PKT 2025","","security test","security test","should not leak data in preflight (OPTIONS) request For Loan Module"
"","105824","should create poll 2 options and visible to none ","","Mon Sep 29 13:58:01 PKT 2025","passed","Mon Sep 29 13:59:47 PKT 2025","","Newsfeed module","Newsfeed module","should create poll 2 options and visible to none "
"","9003","Too many request for the newsfeed post ","","Mon Sep 29 14:13:41 PKT 2025","failed","Mon Sep 29 14:13:50 PKT 2025","","Checking too many request","Checking too many request","Too many request for the newsfeed post "
"","22147","should have the proper data against each URL EMPLOYEES/APPRIASALS/ADMINISTRATION/PROMOTION","","Mon Sep 29 13:28:56 PKT 2025","failed","Mon Sep 29 13:29:18 PKT 2025","","testing the urls of the Hr Menu","testing the urls of the Hr Menu","should have the proper data against each URL EMPLOYEES/APPRIASALS/ADMINISTRATION/PROMOTION"
"","201","should not leak data in preflight (OPTIONS) request For Lead Manager Dashboard","","Mon Sep 29 14:14:07 PKT 2025","passed","Mon Sep 29 14:14:07 PKT 2025","","security test","security test","should not leak data in preflight (OPTIONS) request For Lead Manager Dashboard"
"","257","should validate the response and payload for the Add asset module","","Mon Sep 29 14:14:34 PKT 2025","broken","Mon Sep 29 14:14:35 PKT 2025","","server response verifications","server response verifications","should validate the response and payload for the Add asset module"
"","28940","should create the schedule for the board meetings","","Mon Sep 29 14:08:49 PKT 2025","failed","Mon Sep 29 14:09:18 PKT 2025","","Schedule module","Schedule module","should create the schedule for the board meetings"
"","195","should validate the response and payload for the Company Goals ","","Mon Sep 29 14:12:16 PKT 2025","passed","Mon Sep 29 14:12:16 PKT 2025","","server response verifications Administration Module","server response verifications Administration Module","should validate the response and payload for the Company Goals "
"","19815","should create task with only mandatory fields","","Mon Sep 29 14:09:59 PKT 2025","failed","Mon Sep 29 14:10:19 PKT 2025","","Task module Type project","Task module Type project","should create task with only mandatory fields"
"","35223","should not Creat duplicate accounts","","Mon Sep 29 13:24:30 PKT 2025","passed","Mon Sep 29 13:25:05 PKT 2025","","chart of acounts use cases","chart of acounts use cases","should not Creat duplicate accounts"
"","862","get action Chart of account ","","Mon Sep 29 14:12:30 PKT 2025","passed","Mon Sep 29 14:12:30 PKT 2025","","getting the chart of accounts for verification purpose","getting the chart of accounts for verification purpose","get action Chart of account "
"","17031","should have the correct fields in the Appraisal","","Mon Sep 29 13:32:42 PKT 2025","passed","Mon Sep 29 13:32:59 PKT 2025","","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","should have the correct fields in the Appraisal"
"","18514","should create posting with the tag member only","","Mon Sep 29 14:02:43 PKT 2025","passed","Mon Sep 29 14:03:01 PKT 2025","","Newsfeed on Mobile Layout ","Newsfeed on Mobile Layout ","should create posting with the tag member only"
"","865","post with 2 option and descriptions","","Mon Sep 29 14:13:17 PKT 2025","passed","Mon Sep 29 14:13:17 PKT 2025","","post api test for the poll feature","post api test for the poll feature","post with 2 option and descriptions"
"","24970","should have the proper data agalinst each URL TICKETS/COMPANY-POLICY/FORMS/MARKET-PLACE","","Mon Sep 29 13:27:50 PKT 2025","failed","Mon Sep 29 13:28:15 PKT 2025","","testing the urls of the Main Menu","testing the urls of the Main Menu","should have the proper data agalinst each URL TICKETS/COMPANY-POLICY/FORMS/MARKET-PLACE"
"","3111","should increment the 3 counters upon sucessfull creation of the schedule ","","Mon Sep 29 14:10:52 PKT 2025","broken","Mon Sep 29 14:10:56 PKT 2025","","verification of the notification counter for the schedule ","verification of the notification counter for the schedule ","should increment the 3 counters upon sucessfull creation of the schedule "
"","124146","should have the correct fields in the Salary","","Mon Sep 29 13:42:23 PKT 2025","passed","Mon Sep 29 13:44:27 PKT 2025","","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","should have the correct fields in the Salary"
"","113766","should creating simple pole without the description// no error and loader is shown ","","Mon Sep 29 13:56:07 PKT 2025","passed","Mon Sep 29 13:58:01 PKT 2025","","Newsfeed module","Newsfeed module","should creating simple pole without the description// no error and loader is shown "
"","10379","verification of the alert messages ","","Mon Sep 29 14:11:32 PKT 2025","failed","Mon Sep 29 14:11:42 PKT 2025","","Voucher Module","Voucher Module","verification of the alert messages "
"","53494","should create/delete the poll sucessfully","","Mon Sep 29 13:47:34 PKT 2025","passed","Mon Sep 29 13:48:27 PKT 2025","","Deletion of the post ","Deletion of the post ","should create/delete the poll sucessfully"
"","18737","notification counter reset","","Mon Sep 29 14:10:34 PKT 2025","passed","Mon Sep 29 14:10:52 PKT 2025","","verification of the notification counter for the schedule ","verification of the notification counter for the schedule ","notification counter reset"
"","126305","should have the correct fields in the Promotions","","Mon Sep 29 13:33:00 PKT 2025","passed","Mon Sep 29 13:35:07 PKT 2025","","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","should have the correct fields in the Promotions"
"","62127","should verify of the url","","Mon Sep 29 13:49:25 PKT 2025","passed","Mon Sep 29 13:50:27 PKT 2025","","login validation","login validation","should verify of the url"
"","252356","should have the proper data against each URL CAREERS/SALARY/LOAN/RESGINATION/ATTENDANCE/ROASTER","","Sun May 18 21:48:05 PKT 2025","passed","Sun May 18 21:52:18 PKT 2025","","testing the urls of the Hr Menu","",""
